id,active,intent,priority,triggers,response,action_type,action_label,action_target,handoff,notes
faq_humano,1,handoff,200,"humano|persona|hablar contigo|contigo|llamar|asesor","Te ayudo con eso. Te derivo al contacto directo de Cristobal por WhatsApp.",handoff,"Hablar con humano","",1,"Migrado desde chatbot.html HANDOFF"
faq_saludo,1,saludo,10,"hola|buenas|buen dia|buenos dias|buenas tardes|buenas noches|hi|hey|saludos","Hola. Bienvenido al Cirujano de Sintetizadores. Puedo ayudarte con servicios, precios, agenda, horario y ubicacion.",none,"","",0,"Migrado desde chatbot.html saludo; prioridad baja para no tapar intents mas especificos"
faq_modelo_falla,1,triage,140,"juno|korg|roland|yamaha|moog|prophet|teclado|tecla|teclas|sintoma|falla|no suena|no suenan|ruido|enciende|no enciende","Para orientarte mejor, enviame por favor: marca y modelo, problema o sintoma, si fue abierto antes, y si enciende o no.",collect,"Enviar datos del equipo","collect:instrument_intake",0,"Fusion de chatbot.html agendar + modelo_falla + guia; sin pedir adjuntos que el chat aun no maneja"
faq_agendar,1,agenda,135,"agenda|agendar|cita|turno|como llevo|llevar|dejar|reservar|cuando puedo ir|cuando llevar|como reservo","Para agendar: 1. Contactame por WhatsApp o correo. 2. Indica marca, modelo, problema y si fue abierto antes. 3. Coordinamos dia y hora. Toda cita debe ser confirmada previamente. No se reciben equipos sin coordinar. WhatsApp: +56 9 8295 7538. Email: cirujanodesintetizadores@gmail.com.",schedule,"Agendar revision por WhatsApp","",0,"Migrado desde chatbot.html agendar"
faq_contacto,1,contacto,130,"contacto|contactar|whatsapp|telefono|correo|email|llamar|escribir|instagram|redes|numero|comunicarme","WhatsApp: https://wa.me/56982957538 . Email: cirujanodesintetizadores@gmail.com . Instagram: https://instagram.com/cirujanodesintetizadores .",handoff,"Hablar por WhatsApp","",1,"Migrado desde chatbot.html contacto"
faq_servicios_no,1,servicios_no,125,"parlante|altavoz|televisor|television|tv|videojuego|lavadora|electrodomestico|refrigerador|microondas|computador|laptop|celular|telefono|impresora|minicomponente|componente|home theater|teatro","Hay equipos que no tomamos: parlantes o altavoces solos, televisores, videojuegos y consolas, electrodomesticos en general, computadores, laptops y celulares. Equipos de musica como minicomponentes o home theater en general no, pero se puede conversar. Amplificadores de instrumento y electronica de audio si los tomamos.",none,"","",0,"Migrado desde chatbot.html servicios_no"
faq_cotizacion,1,cotizacion,120,"precio|costo|cuanto cuesta|cuanto vale|cuanto sale|cobran|cobro|presupuesto|valor|honorario|tarifa|cuanto cobran|cuanto me cobran","El diagnostico tiene un valor de $20.000. Formas de pago: efectivo, transferencia bancaria o tarjeta de debito. Los pagos con tarjeta tienen un recargo adicional de 6,3%. Se prefiere efectivo o transferencia. El precio final de la reparacion depende del modelo, del problema y de lo que aparezca en la revision. Se determina despues de revisar el equipo. Datos para transferencia: Cristobal Zurita Quintanilla, RUT 15.566.975-6, Banco Estado, Cuenta RUT 15566975.",schedule,"Agendar revision por WhatsApp","",0,"Migrado desde chatbot.html precio + GUIA_INTEGRACION.md"
faq_servicios,1,servicios,115,"que reparan|que arreglan|que hacen|servicios|reparar|sintetizador|teclado|modular|midi|pedal|efectos|amplificador|guitarra|bajo|organo|drum machine|caja de ritmo|eurorack|instrumento|electronica|mantencion|restauracion","Trabajamos con sintetizadores analogicos, digitales y modulares, teclados y organos electronicos, drum machines o cajas de ritmo, pedales de efectos, amplificadores de instrumento, modulos Eurorack y electronica de audio en general. Si no estas seguro de si tu equipo entra, cuentame que es y lo evaluamos.",none,"","",0,"Migrado desde chatbot.html servicios_si"
faq_garantia,1,garantia,110,"garantia|garantizan|respaldo|responsabilidad","La garantia se conversa segun el tipo de trabajo. Para consultas especificas sobre esto, lo mejor es hablarlo directamente con Cristobal.",handoff,"Hablar con humano","",1,"Migrado desde chatbot.html garantia"
faq_seguimiento,1,seguimiento,105,"seguimiento|estado|como va|mi equipo|progreso|avance|web|pagina","El seguimiento del estado de tu equipo estara disponible en la web cuando este operativa, en cirujanodesintetizadores.cl. Mientras tanto, puedes consultar directamente por WhatsApp o correo.",handoff,"Consultar por WhatsApp","",1,"Migrado desde chatbot.html seguimiento"
faq_tiempo,1,plazos,100,"cuanto demora|tiempo|plazo|cuando listo|demora|espera|rapido|urgente|urgencia|urgencias","Los plazos dependen del equipo y el problema. Minimo estimado: 1 mes. Caso tipico: alrededor de 3 meses. Las urgencias casi no existen; si necesitas algo urgente, se puede conversar, pero tiene un cobro diferenciado.",schedule,"Agendar revision por WhatsApp","",0,"Migrado desde chatbot.html tiempo + GUIA_INTEGRACION.md"
faq_horario,1,horario,95,"horario|hora|horas|atencion|cuando atienden|cuando abren|abierto|disponible|lunes|martes|miercoles|jueves|viernes|sabado|domingo","Horario de atencion: 9:00 a 18:00 hrs. Se puede coordinar en horarios especiales con anticipacion. Toda cita debe ser coordinada y confirmada previamente.",none,"","",0,"Migrado desde chatbot.html horario"
faq_ubicacion,1,ubicacion,90,"donde|ubicacion|ubicado|direccion|lugar|taller|como llegar|mapa|valparaiso|eusebio","Eusebio Lillo 362, Valparaiso. Codigo postal 2350454. Mapa: https://maps.app.goo.gl/G6kY7cwCS4r4mtuZ7",none,"","",0,"Migrado desde chatbot.html ubicacion + GUIA_INTEGRACION.md"
faq_trabajos,1,trabajos,85,"trabajos|portfolio|ejemplos|fotos|ver trabajos|referencias|experiencia","Puedes ver trabajos realizados en Instagram: https://instagram.com/cirujanodesintetizadores",none,"","",0,"Migrado desde chatbot.html trabajos"
